Reviewer,Country,Title,Review Text,Date,Rating,Link
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Dave,AU,Found a leaking can in my 30 can…,"Found a leaking can in my 30 can purchase which leaked onto my carpet and stained it, I phoned coke and spoke with one of their reps. Because the cans were out of date they wouldn’t entertain me. Firstly I understand that the product would (in theory) taste better before the use by date, but surely the manufacturing process would ensure the the cans would last at least double the usable time (coke told me 1 year for the best before date from manufacture) I am not disputing the taste of the coke (although I can’t tell any difference) I believe the cans should last longer. If it wasn’t a manufacturing flaw, why have all the remaining cans not leaked. Why is it that I have never had a Pepsi can leak, only Coke cans. Hey Coke, why not have a best before date of 1 month, then you would never have to fulfil any complaints. Not happy",4 days ago,1,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Jay,US,Free products for the IDF,"I must have bought tens of thousands of diet Cokes, but I will not buy another ever again since learning that Coca-Cola gives free products to the IDF as they murder thousands of innocent Palestinian woman and children. So disgusting. You just lost a lifelong customer.",5 days ago,1,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Keneth Leonard,KE,Coca cola product is a great remedy for…,"Coca cola product is a great remedy for cleaning clogged substances like toilets, carpets, floors, a mixture of coca cola and detergent can do much on the daily household cores","Mar 30, 2025",1,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
BeatZa BeatZa,CA,RACIST DIGUSTING HORRIBLE TERRIFYING :(,"Way back then coca cola was insainly racist , they would only let white people drink their substance , DISGUTING HORRIBLE TERRIFYING  thats howd i described their product i liked coca cola before this information but now that i discovered this information from my ccq teacher bless him im from now on only drink pespi yah thats right PESPI because of this DISGUSTING HORRIBLE TERRIFYING news good day coca cola i hope you are not racist now :o .","Mar 24, 2025",1,https://www.trustpilot.com/users/67e16bec19dc11aad275b08b
Saheer Anas,IN,I felt Coco cola Sugar content is very…,"I felt Coco cola Sugar content is very high, and worst experience. Very bad","Mar 21, 2025",1,https://www.trustpilot.com/users/67dd8f48459f8035477563ed
Craig Thorne,GB,Been trying to get monster assault…,Been trying to get monster assault phoned up mailed can not give me a direct reply at all I can get from other countries but not here why ????,"Mar 15, 2025",1,https://www.trustpilot.com/users/51daa11d000064000142ecfb
Shae Brown,US,Get Pepsi instead,"Racist from the beginningIn the early 1900s, Coca-Cola primarily marketed to white consumers and was slow to include Black people in its advertising. Some reports suggest that Coca-Cola was sold at higher prices or was less accessible in Black communities, especially in the South.","Mar 6, 2025",1,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Tyler Willoughby,US,Greedy Coke,I used to really enjoy Coca Cola until you raised the prices to a ridiculous level.  Now your products are not so desirable.  I found a BC cola that is even better than yours and a 12 pack is only $3.49!!  I drink zero sugar and Best Choice has these.  I'm glad I found this!  Everybody should reconsider..I think you will enjoy this BC product and the price savings!,"Mar 3, 2025",1,https://www.trustpilot.com/users/67c58e841541d8348e6487f7
Dick Laurent,FR,Incredibly bad for your health ans…,Incredibly bad for your health ans tastes like crap.,"Feb 25, 2025",1,https://www.trustpilot.com/users/66597c563a310911e760a284
Cynthia Tinoco,US,Nothing that leaves the worst taste in…,Nothing that leaves the worst taste in ones mouth than when a company makes it clear they do not value their employees or customers. There are many products that Coca Cola makes & they have lost my business as well as my family’s.,"Feb 22, 2025",1,https://www.trustpilot.com/users/67b9359630e5fe1207979fb1
Erik Pasveer,NL,The Coca Cola fraud,"Although Coca Cola is the cola with the best flavour, since the new bottles have been launched, the gas is out before the bottle is half empty, making it a VERY EXPENSIVE drink.This is just the worst experience as a customer.","Feb 18, 2025",1,https://www.trustpilot.com/users/5948f8860000ff000aa5cc63
Angel,ZA,It's one of the best soft drinks in…,It's one of the best soft drinks in Mzansi shout out to COCA-COLA.,"Feb 9, 2025",4,https://www.trustpilot.com/users/67a89dbb7e788ebc3b0cc215
Juliet,CM,Tasty and refreshing,"Satisfying, refreshing love itThe company is selling quality","Feb 9, 2025",5,https://www.trustpilot.com/users/67a7dbca892176f3f846dcac
Lori Metayer,US,Terrible for your health and is a…,Terrible for your health and is a horrible racist company!,"Feb 8, 2025",1,https://www.trustpilot.com/users/67a7b194bbb6eabc2e331e56
Marie,GB,no good not a fan let down all round,,"Feb 8, 2025",1,https://www.trustpilot.com/users/67a66efeff707ac151ffe29f
David Keelan,VI,great produc,,"Feb 6, 2025",3,https://www.trustpilot.com/users/67a4d7837bf75666c12af3c3
Be Humble Wildflower,US,Bad quality soda taste horrible Pepsi…,Bad quality soda taste horrible Pepsi taste way better,"Feb 5, 2025",1,https://www.trustpilot.com/users/67a2c870ccafee1176c67979
Luca Green,GB,Tasty but tooooo much sugar,"Tasty but tooooo much sugar, not good for your health but good for your mood","Feb 4, 2025",4,https://www.trustpilot.com/users/677ff533acd0869ac80ad1ac
Robby RD,BE,Well I definitely enjoy the drink and…,Well I definitely enjoy the drink and have no bad experience with it despite not always being a healthy drink the only issue I have is that it sometimes can be overpriced butI guess inflation is there to blame forEither way the best cola on my opinion is from South America and the Caribbean when it comes to flavor but that's just my opinion 😁,"Feb 3, 2025",4,https://www.trustpilot.com/users/67a028de4bbcd93ce26477d5
Ken Hatten,US,I'm so happy you are bringing back…Orange cream,I'm so happy you are bringing back orange vanilla coke also sorry to hear it won't be permanent well another flavor Pepsi can ad ?????????????not a good move,"Jan 27, 2025",5,https://www.trustpilot.com/users/62d8a62d768cb40017e667c2
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Canada coca cola campany,ET,I can from ethiopia,My name is Mohammed I'm ethiopia,"Jan 9, 2025",3,https://www.trustpilot.com/users/677fc9c3a8926426ccc1f6b8
Laura Hinket,,with time there quality has depleted,with time there quality has depleted,"Jan 5, 2025",1,https://www.trustpilot.com/users/677ab7dc7022c61a3394a2f2
